CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
34.033.779/0001-63;ABN AMRO ARRENDAMENTO MERCANTIL SA;AYMORÉ LEASING;1995-12-20;1970-01-06;2009-09-30;ELISÃO POR INCORPORAÇÃO;CANCELADA;2009-09-30;15270;Arrendamento Mercantil;;Categoria A;2010-01-01;;;PRIVADO;SEDE;ALAMEDA ARAGUAIA, 731 PAV.SUP.;PARTE A;ALPHAVILLE;BARUERI;SP;BRASIL;6455000;11;31746507;11;31746257;rubens.rossi@br.abnamro.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;CARLOS ALBERTO LÓPEZ GALÁN;2009-08-12;AVENIDA PAULISTA;1374;BELA VISTA;SÃO PAULO;SP;;1310916;11;31749611;11;31746751;cgalan@santander.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
44.597.052/0001-62;ABRIL SA;ABRIL SA;1994-05-06;;1999-12-21;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA;1999-12-21;14370;Gráficas e Editoras;;;;;;PRIVADO;SEDE;AV OTAVIANO ALVES DE LIMA 7221;;PINHEIROS;SÃO PAULO;SP;BRASIL;5425902;11;30372010;11;30372040;jaugusto@abril.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;JOSE AUGUSTO PINTO MOREIRA;1994-05-06;AV NAÇÕES UNIDAS, 7221/2º AND;;PINHEIROS;SÃO PAULO;SP;;5425902;11;30372010;11;30372040;jaugusto@abril.com.br;33.017.310/0001-78;RUHTRA S/C
07.794.351/0001-60;ABYARA PLANEJAMENTO IMOBILIÁRIO S/A;ABYARA;2006-07-24;2006-01-04;2010-05-28;CANCELAMENTO VOLUNTÁRIO;CANCELADA;2010-05-28;20206;Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;;Categoria A;2010-01-01;;;PRIVADO;SEDE;AVENIDA IBIRAPUERA;2332/T. 1/ 11ANDAR;IBIRAPUERA;SÃO PAULO;SP;BRASIL;4028002;11;32960202;;;ri@abyara.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;MARCOS YUITI MORI;2009-06-08;RUA GOMES DE CARVALHO, 1510;6º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;;4547005;11;32960202;11;32960201;ri@abyara.com.br;00.326.016/0001-99;TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES
07.636.657/0001-99;ACO VERDE DO BRASIL S.A;AÃO VERDE DO BRASIL S.A;2021-11-29;1985-05-07;;;ATIVO;2021-11-29;26425;Metalurgia e Siderurgia;BALCÃO ORGANIZADO;Categoria B;2021-11-29;FASE OPERACIONAL;2021-08-17;PRIVADO;SEDE;Rodovia BR 222, Km 14,5;Gleba Itinga,Lote 71;Distrito de Pequiá;AÇAILÂNDIA;MA;BRASIL;65930000;99;5355122;99;5355139;ri@ferroeste.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Gustavo Rozenbaum Bcheche;2021-08-09;Avenida do Contorno 3800;19º andar;Santa Efigênia;BELO HORIZONTE;MG;;30110022;31;32282500;;;ri@ferroeste.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
18.451.005/0001-04;ACOPALMA CIA INDL ACOS V PALMA;ACOPALMA CIA INDL ACOS V PALMA;1978-05-09;1973-03-15;2007-08-07;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA;2007-08-07;60;Metalurgia e Siderurgia;;;;;;PRIVADO;SEDE;ALAMEDA LOURIVAL BOECHAT 550;;N.S.FATIMA;VÁRZEA DA PALMA;MG;BRASIL;39250000;31;33352590;31;33442596;;DIRETOR DE RELAÇÕES COM INVESTIDORES;MILTON ALENCAR ASSIS DE TOLEDO;1978-05-09;RUA ALVES DO VALE, 14;;CORAçAO JESUS;BELO HORIZONTE;MG;;30380320;31;33352590;31;33442596;maatoledo@uol.com.br;61.411.393/0001-10;WALTER HEUER AUDITORES INDEPENDENTES
61.150.660/0001-43;ACOS ANHANGUERA SA;ANHANGUERA;1971-10-20;;1994-02-09;ELISÃO POR INCORPORAÇÃO;CANCELADA;1994-02-09;78;Metalurgia e Siderurgia;;;;;;PRIVADO;SEDE;AV INTERLAGOS 4455 JD.UMUARAMA;;;SÃO PAULO;SP;BRASIL;4669900;11;5253322;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;LUIS ROBERTO DE M. JUNQUEIRA;1971-10-20;RUA VERBO DIVINO 1661;;;SÃO PAULO;SP;;4719000;11;2461222;0011;;;33.017.310/0001-78;RUHTRA S/C
60.890.688/0001-54;ACOS DO BRASIL SA IND E COM;ACOS DO BRASIL;1972-08-16;;1989-12-14;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA;1989-12-14;86;Metalurgia e Siderurgia;;;;;;PRIVADO;SEDE;R DR JULIO PIGNATARI 109;;;SANTO ANDRÉ;SP;BRASIL;9220000;11;4491022;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;RUY MARQUES;1972-08-16;R XV DE NOVEMBRO 324;;;SÃO PAULO;SP;;1013000;11;2390711;0011;;;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
92.767.409/0001-56;AÇOS FINOS PIRATINI S/A;PIRATINI;1994-07-21;;1995-09-05;ELISÃO POR INCORPORAÇÃO;CANCELADA;1995-09-05;14508;Metalurgia e Siderurgia;;;;;;PRIVADO;SEDE;AV FARRAPOS, 1811;;;PORTALEGRE;RS;BRASIL;90220005;51;3302777;51;3302695;;DIRETOR DE RELAÇÕES COM INVESTIDORES;FREDERICO C.GERDAU JOHANNPETER;1994-07-21;AV FARRAPOS, 1811;;;PORTALEGRE;RN;;90220005;51;3302777;0051;3302695;;44.038.248/0001-17;ARTHUR ANDERSEN BIEDERMANN A I
60.852.316/0001-33;ACOS IPANEMA (VILLARES) SA;ACOS IPANEMA;1977-10-20;;1993-01-11;ELISÃO POR INCORPORAÇÃO;CANCELADA;1993-01-11;10715;Metalurgia e Siderurgia;;;;;;PRIVADO;SEDE;AV. INTERLAGOS 4455;;;SÃO PAULO;SP;BRASIL;4669000;11;5253322;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;LUIS ROBERTO DE M. JUNQUEIRA;1977-10-20;RUA VERBO DIVINO NR 1661;;;SÃO PAULO;SP;;4719000;11;2461222;0011;;;60.815.016/0001-84;ROBERTO DREYFUSS & CIA SC
60.664.810/0001-74;AÇOS VILLARES SA;ACOS VILLARES;1969-05-16;1944-08-18;2010-12-30;ELISÃO POR INCORPORAÇÃO;CANCELADA;2010-12-30;108;Metalurgia e Siderurgia;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1969-05-16;ESTRANGEIRO;SEDE;Avenida das Nações Unidas, 8501;5º ANDAR;Pinheiros;SÃO PAULO;SP;BRASIL;5425070;051;33232211;51;33232281;inform@gerdau.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;OSVALDO BURGOS SCHIRMER;2009-04-28;AV. FARRAPOS;Nº 1811;FLORESTA;PORTO ALEGRE;RS;;90220005;51;33232211;51;33232281;inform@gerdau.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
13.546.353/0001-33;ACRINOR ACRILONITRILA DO NE SA;ACRINOR;1981-12-23;;2000-02-21;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA;2000-02-21;116;Petroquímicos e Borracha;;;;;;PRIVADO;SEDE;RUA DO HIDROGENIO, 824;;COPEC;CAMAÇARI;BA;BRASIL;42810000;71;8342455;71;8322137;;DIRETOR DE RELAÇÕES COM INVESTIDORES;NELSON MAGALHÃES GRAÇA;1981-12-23;RUA DO HIDROGENIO, 824;;;CAMAÇARI;BA;;41810000;71;8342500;0071;8322137;;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
07.825.881/0001-29;ACRUX SECURITIZADORA S/A;ACRUX SECURITIZADORA S/A;2006-08-09;2006-01-02;2016-02-04;CANCELAMENTO VOLUNTÁRIO;CANCELADA;2016-02-04;20230;Securitização de Recebíveis;BALCÃO ORGANIZADO;Categoria B;2010-01-01;FASE OPERACIONAL;2006-08-09;PRIVADO;SEDE;Rua do Carmo 71;5o andar;Centro;RIO DE JANEIRO;RJ;BRASIL;21011020;21;25052500;21;22524518;securitizadora@acruxcapital.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;JORGE HENRIQUE DA SILVA;2011-12-05;RUA DO CARMO 71;5 ANDAR;CENTRO;RIO DE JANEIRO;RJ;;21011020;21;25052500;21;22524518;securitizadora@acruxcapital.com;05.502.678/0001-96;MANDARINO & ASSOCIADOS AUDITORES
02.808.627/0001-07;ACTORI PARTICIPAÇÕES SA;ACTORI PARTICIPAÇÕES S.A.;1998-12-09;1998-09-14;2002-04-24;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA;2002-04-24;18040;Emp. Adm. Participações;;;;;;PRIVADO HOLDING;SEDE;AV. BRIGADEIRO FARIA LIMA, 372;9, 7º ANDA;ITAIM BIBI;SÃO PAULO;SP;BRASIL;4538905;11;30495555;11;30495511;valdo.gomes@gp.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;FERSEN LAMAS LAMBRANHO;1998-12-09;AV. BRIGADEIRO FARIA LIMA, 372;9, 7º ANDA;ITAIM BIBI;SÃO PAULO;SP;;4538905;11;30495582;11;30495511;mara.elisa@gp.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
47.080.619/0001-17;AÇUCAR GUARANI S/A;AÇUCAR GUARANI S/A;2007-07-20;1976-01-01;2010-08-13;CANCELAMENTO VOLUNTÁRIO;CANCELADA;2010-08-13;20940;Agricultura (Açúcar, Álcool e Cana);BOLSA;Categoria A;2010-01-01;;;PRIVADO HOLDING;SEDE;Rodovia Assis Chateubriand;Km 155;Zona Rural;OLÍMPIA;SP;BRASIL;15400000;17;32801000;17;32801319;ri@aguarani.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;REYNALDO FERREIRA BENITEZ;2007-05-30;AV. BRIG. FARIA LIMA, 201;CONJ 132 13º ANDAR;PINHEIROS;SÃO PAULO;SP;;5426100;11;35444900;11;35444944;ri@aguarani.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
43.631.183/0001-56;ADEPAR ASSESSORIA ADM SERV SA;IOCHPE ARREND MERC;1981-04-14;;1989-08-02;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA;1989-08-02;7625;Emp. Adm. Participações;;;;;;PRIVADO;SEDE;RUA SETE SETEMBRO 1123/3 ANDAR;;;PORTO ALEGRE;RS;BRASIL;90010000;0512;274544;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;MAURO KNIJNIK;1981-04-14;RUA SETE SETEMBRO 1123/3 ANDAR;;;PORTO ALEGRE;RS;;90010000;0512;274544;0512;;;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
11.029.808/0001-18;ADESENE ADESIVOS NO NORDESTE SA;ADESENE;1974-12-10;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA;2005-08-09;132;Petroquímicos e Borracha;;;;;;PRIVADO;SEDE;R.A-Q.O-L.1 A 5-DIST.INDL.JP;;;JOÃO PESSOA;PB;BRASIL;58000000;83;2213334;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;FLAVIO RODOLFO PINHEIRO LIMA;1974-12-10;R.A-Q.O-L.1 A 5-DIST.INDL.JP;;;JOÃO PESSOA;PB;;58000000;83;2213334;0083;;;;
17.157.215/0001-13;ADUBOS VIANNA SA INDUSTRIA E COMERCIO;ADUBOS VIANNA;1969-09-22;;2005-12-20;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA;2005-12-20;159;Petroquímicos e Borracha;;;;;;PRIVADO;SEDE;ALAMEDA TANGARA, 1-VILA VIANNA;;;COTIA;SP;BRASIL;6700000;11;4923848;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;ANTONIO EDUARDO RIBAS VIANNA;1969-09-22;AL TANGARA 1;;;COTIA;SP;;6700000;11;4923840;0011;;;43.342.997/0001-70;ECOPAL AUDITORES INDEPENDENTES
10.345.009/0001-98;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;HUB COSMÉTICOS S.A.;2009-06-24;2008-08-18;2022-07-12;CANCELAMENTO DE OFÍCIO;CANCELADA;2022-07-12;21725;Farmacêutico e Higiene;BOLSA;Categoria A;2010-01-01;FASE PRÉ-OPERACIONAL;2009-06-24;ESTRANGEIRO;SEDE;Av. Das Nações Unidas, 8501;17º andar;Pinheiros;SÃO PAULO;SP;BRASIL;5425070;11;34346548;11;34346548;dri@advanced-dh.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;THAISE SAETER;2019-01-17;AV. DAS NAÇÕES UNIDAS, 8501;;PINHEIROS;SÃO PAULO;SP;;5425070;11;34346548;0;0;dri@advanced-dh.com;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
08.827.501/0001-58;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;2014-05-21;2007-03-26;;;ATIVO;2014-05-21;23396;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria A;2026-02-25;FASE OPERACIONAL;2014-03-11;PRIVADO HOLDING;SEDE;Avenida Brigadeiro Faria Lima, n° 1663;1 andar, sl01;Jardim Paulistano;SÃO PAULO;SP;BRASIL;1452001;11;38188150;11;38188166;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2020-10-06;Avenida Brigadeiro Faria Lima, n° 1663;1 andar, sl 01;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-11-09;2020-08-17;;;ATIVO;2020-11-09;25283;Máquinas, Equipamentos, Veículos e Peças;BALCÃO ORGANIZADO;Categoria A;2020-11-09;FASE OPERACIONAL;2010-08-17;PRIVADO;SEDE;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;BRASIL;61642000;85;34572200;85;34572200;ri@aerisenergy.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Alexandre Sarnes Negrão;2026-03-27;Rodovia CE-155, KM 2;CIPP;Caucaia;CAUCAIA;;;61642000;85;33045858;;;ri@aerisenergy.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;;2020-11-09;2020-08-17;;;ATIVO;2020-11-09;25283;Máquinas, Equipamentos, Veículos e Peças;BOLSA;Categoria A;2020-11-09;FASE OPERACIONAL;2010-08-17;PRIVADO;SEDE;Rodovia CE-155;km. 2;CIPP;CAUCAIA;CE;BRASIL;61642000;85;34572200;85;34572200;ri@aerisenergy.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Alexandre Sarnes Negrão;2026-03-27;Rodovia CE-155, KM 2;CIPP;Caucaia;CAUCAIA;;;61642000;85;33045858;;;ri@aerisenergy.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
33.037.169/0001-75;AEROFOTO CRUZEIRO SA;AEROFOTO CRUZEIRO;1977-07-20;;1992-12-01;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA;1992-12-01;167;Serviços Diversos;;;;;;PRIVADO;SEDE;AV. ALMIRANTE FRONTIN, 381;;;RIO DE JANEIRO;RJ;BRASIL;21030000;21;22905212;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;LEOPOLDINO C.DE AMORIM FILHO;1977-07-20;AV. ALMIRANTE FRONTIN, 381;;;RIO DE JANEIRO;RJ;;21030000;21;2905212;0021;;;61.411.393/0001-10;WALTER HEUER AUDITORES INDEPENDENTES
01.917.705/0001-30;AES ELPA SA;AES ELPA;2002-10-14;1997-06-01;2018-09-05;CANCELAMENTO VOLUNTÁRIO;CANCELADA;2018-09-05;19313;Emp. Adm. Part. - Energia Elétrica;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2002-10-14;PRIVADO HOLDING;SEDE;Av. Dr. Marcos Penteado de Ulhôa Rodrigues, nº 939. Torre II;5 andar Sala 1;Bairro Sítio Tamboré;BARUERI;SP;BRASIL;6460040;11;21957048;11;21952155;ri.aeseletropaulo@aes.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;CLARISSA DELLA NINA SADDOCK ACCORSI;2016-04-01;AV DR MARCOS P DE U RODRIGUES;7º ANDAR;SÍTIO TAMBORE;BARUERI;SP;;6460040;11;21957048;11;21952308;ri.aeselpa@aes.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
04.128.563/0001-10;AES TIETÊ ENERGIA S.A;CIA BRASILIANA DE ENERGIA;2001-06-29;2000-11-06;2021-05-13;ELISÃO POR INCORPORAÇÃO;CANCELADA;2021-05-13;18970;Emp. Adm. Part. - Energia Elétrica;BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;2002-10-01;PRIVADO;SEDE;AV. NAçõES UNIDAS, 12.495;12º ANDAR;BROOKLIN PAULISTA;SÃO PAULO;SP;BRASIL;4578000;11;21957048;011;21952155;ciabrasiliana@aes.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;CLARISSA DELLA NINA SADOCK ACCORSI;2017-10-01;AV. NAÇÕES UNIDAS, 12.495;12º ANDAR;BROOKLIN PAULISTA;SÃO PAULO;SP;;4578000;11;41974925;11;41974925;ri.aesbrasil@aes.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
